Champion,Role,Rank,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
Nunu & Willump,Jungle,108,0.5227,0.0214,0.0007,4.31,3.79,5.03,11.15,5,10709,33425,17171,33.2,6.4,71.61,9775,23,2
Olaf,Jungle,109,0.514,0.0314,0.0094,4.52,6.5,5.34,6.33,9,15267,29861,10937,36.2,9.39,79.85,10926,10,4
Orianna,Middle,110,0.5088,0.0274,0.0006,6.83,5.65,5.02,9.08,7,19946,16633,2125,178,1.89,8.23,11442,13,1
Ornn,Support,111,0.456,0.0048,0.0041,1.64,2.04,3.5,4.1,3,7941,13346,1062,92.6,0.32,0.51,6315,53,0
Ornn,Top,112,0.4992,0.0295,0.0041,1.55,3.59,4.92,8.42,5,16805,26961,3424,163.2,0.78,1.76,10270,26,4
Pantheon,Jungle,113,0.4706,0.006,0.005,9.03,6.27,6.01,7.66,8,13876,26079,7916,40.8,5.86,63.24,10371,44,1
Pantheon,Middle,114,0.475,0.0108,0.005,12.52,7.6,6.28,7.46,7,18677,23501,4614,141.2,1.49,3.44,11212,40,3
Pantheon,Support,115,0.5014,0.0059,0.005,19.5,4.63,5.11,6.05,8,10644,15083,1997,68.5,0.65,0.88,7671,34,8
Pantheon,Top,116,0.4801,0.0049,0.005,6.28,6.6,6.46,6.8,8,18544,24595,4418,144.1,1.41,2.9,11045,43,1
Poppy,Jungle,117,0.5075,0.0055,0.0006,7.52,5.27,5.11,8.27,7,13997,25013,6314,47,7.13,65.32,10240,36,0
Poppy,Support,118,0.5012,0.0039,0.0006,7.45,3.05,4.5,6.44,4,9514,15689,1700,63.3,0.53,0.64,7219,42,5
Poppy,Top,119,0.4839,0.0106,0.0006,4.46,4.5,5.17,7.15,6,17917,25392,3841,153.4,1.51,2.34,10444,39,2
Pyke,Support,120,0.481,0.0504,0.0137,NaN,6.17,6.24,7.79,9,9278,17844,4374,38.1,0.22,0.17,10245,5,0
Qiyana,Middle,121,0.4599,0.0141,0.0016,NaN,8.21,6.77,6.31,8,19996,21752,3933,151.5,1.86,3.6,11440,41,2
Quinn,Top,122,0.5078,0.0105,0.0014,5.93,6.99,6.86,6.16,10,21307,21046,1575,165.3,3.31,4.78,11903,33,1
Rakan,Support,123,0.4912,0.0293,0.0004,5.34,1.59,4.96,13.09,3,6332,14664,4084,27.9,0.07,0.07,7346,37,2
Rammus,Jungle,124,0.4965,0.0172,0.0037,3.7,4.23,5.45,10.19,6,12295,27645,8107,30.4,5.3,75.46,9821,37,0
Rek'Sai,Jungle,125,0.5064,0.0262,0.0039,5.13,6.58,5.21,6.93,7,12750,27471,12315,23.9,8.17,75.39,10399,25,0
Renekton,Top,126,0.4778,0.0375,0.0095,5.71,5.24,5.59,5.52,7,17670,31339,7893,183.8,2.83,3.76,11721,7,1
Rengar,Jungle,127,0.4943,0.0281,0.0067,5.83,7.78,6.05,5.52,9,16446,28116,10938,37.5,10.7,81.36,11344,19,3
